iter	Logloss
0	0.6271274054
1	0.5658332465
2	0.5216995589
3	0.4854608676
4	0.4465669146
5	0.4177988139
6	0.3955497898
7	0.3783173324
8	0.3654173517
9	0.3514306423
10	0.3407577125
11	0.3327226843
12	0.3258184887
13	0.3208240889
14	0.315673743
15	0.3115615372
16	0.3080503963
17	0.3049004576
18	0.3022244041
19	0.2995842704
20	0.2975314304
21	0.2954603704
22	0.2937905769
23	0.2922191356
24	0.2905825677
25	0.2890672845
26	0.2878455665
27	0.2867090707
28	0.2856325242
29	0.2846852674
30	0.2838103475
31	0.2829880072
32	0.282270198
33	0.2816043048
34	0.280940291
35	0.2804510975
36	0.27988445
37	0.2793639208
38	0.2788991908
39	0.2784710909
40	0.2780455103
41	0.2776489535
42	0.2773440772
43	0.276991999
44	0.2766769053
45	0.2764467268
46	0.2761957044
47	0.2759304759
48	0.2756781783
49	0.2754872756
50	0.2752393337
51	0.2750565941
52	0.2748679388
53	0.2746906322
54	0.2745438413
55	0.274437004
56	0.2742935185
57	0.2741738194
58	0.2739898274
59	0.2738534865
60	0.2737216208
61	0.2736213029
62	0.2735298272
63	0.2734203672
64	0.2732908882
65	0.2732190586
66	0.2731402027
67	0.273065694
68	0.2729886933
69	0.272898534
70	0.2728190076
71	0.2727438672
72	0.272666603
73	0.2726042668
74	0.2725106059
75	0.2724412848
76	0.2723905021
77	0.2723435242
78	0.272296462
79	0.2722278744
80	0.2721803592
81	0.272108252
82	0.2720372557
83	0.2719824806
84	0.2719391044
85	0.2718947936
86	0.2718609885
87	0.2718167866
88	0.2717734439
89	0.271716845
90	0.2716695663
91	0.2716396705
92	0.2716016603
93	0.2715706889
94	0.2715277088
95	0.2714862525
96	0.271458929
97	0.2713490002
98	0.2712894393
99	0.2712617562
100	0.271236975
101	0.2711879788
102	0.2711615325
103	0.2711388828
104	0.2711162966
105	0.2710834054
106	0.2709917475
107	0.2709659254
108	0.2709398139
109	0.2709180215
110	0.2709062829
111	0.2708778865
112	0.270862243
113	0.2708446982
114	0.2707775004
115	0.270756812
116	0.2707371355
117	0.2707184887
118	0.2706999538
119	0.2706828717
120	0.2706618261
121	0.2706444656
122	0.2706328602
123	0.2706135355
124	0.2706016287
125	0.2705850874
126	0.2705713115
127	0.2705589367
128	0.2705324352
129	0.2705169122
130	0.270501368
131	0.2704446907
132	0.2704276223
133	0.2704128337
134	0.2703969656
135	0.2703812554
136	0.2703643655
137	0.2703497853
138	0.2703409635
139	0.2703291637
140	0.2702948129
141	0.2702774127
142	0.2702662262
143	0.2702446135
144	0.2702235641
145	0.2702149182
146	0.2702016293
147	0.2701919289
148	0.2701792572
149	0.27016744
150	0.27015981
151	0.2701348792
152	0.2701205334
153	0.2701163399
154	0.2700778562
155	0.2700424144
156	0.2700337942
157	0.2700276423
158	0.2700203512
159	0.2700093399
160	0.2700011931
161	0.2699919881
162	0.269943359
163	0.2699160454
164	0.269905547
165	0.2699055455
166	0.2698931102
167	0.2698805507
168	0.2698699203
169	0.2698698999
170	0.2698572313
171	0.2698497353
172	0.2698305036
173	0.2698190378
174	0.2698107339
175	0.269803845
176	0.2697664522
177	0.2697664514
178	0.2697466044
179	0.2697295201
180	0.2697179665
181	0.2697073719
182	0.2696970694
183	0.2696915355
184	0.26965082
185	0.2696409485
186	0.2696285561
187	0.2696202989
188	0.269588492
189	0.2695587247
190	0.2695429916
191	0.2695286452
192	0.269522085
193	0.2694975303
194	0.2694887234
195	0.2694756153
196	0.2694756046
197	0.2694669123
198	0.2694621128
199	0.2694541773
